sku_id, annual_units, case_pct, min_each_cases,units_case,case_pallet
38985,13231,1,4,20,45
38986,13216,1,4,16,45
27591,13187,1,4,28,45
38984,13186,1,4,16,45
38983,13174,1,4,16,45
39002,13066,0.5,4,1000,45
15191,12846,0.5,4,18,45
15192,12821,0.5,4,18,45
37866,12622,0.5,4,3100,45
27616,12547,0.5,4,24,45
23388,12443,0.5,4,500,45
34510,12411,0.5,4,250,45
38982,12247,0.5,4,20,45
36065,12246,0.5,4,116,45
38981,12236,0.5,4,14,45
16234,11837,0.5,4,18,45
34772,11835,0.5,4,800,45
16523,11831,0.5,4,18,45
16233,11830,0.5,4,18,45
36071,11729,0.5,4,100,45
16168,11640,0.5,4,18,45
27617,11533,0.5,4,24,45
33869,11446,0.5,4,20,45
24236,11425,0.5,4,100,45
16232,11375,0.5,4,18,45
16520,11361,0.5,4,48,45
38979,11228,0.5,4,18,45
38980,11226,0.5,4,14,45
33896,11164,0.5,4,20,45
31304,11161,0.5,4,18,45
31603,11099,0.5,4,16,45
31602,11086,0.5,4,18,45
3127,11014,0.5,4,2000,45
3129,11014,0.5,4,2000,45
3130,11014,0.5,4,2000,45
3131,11014,0.5,4,2000,45
39117,10892,0.5,4,90,45
33884,10891,0.5,4,20,45
38978,10795,0.5,4,18,45
38977,10794,0.5,4,18,45
31305,10745,0.5,4,20,45
37861,10557,0.5,4,150,45
38975,10522,0.5,4,20,45
38976,10514,0.5,4,14,45
16524,10389,0.5,4,18,45
14309,10330,0.5,4,70,45
31604,10304,0.5,4,20,45
24212,10279,0.5,4,24,45
31605,10220,0.5,4,16,45
31306,10181,0.5,4,20,45
39516,10133,0.5,4,0,45
39118,10030,0.5,4,90,45
33592,10018,0.5,4,48,45
23501,9930,0.5,4,128,45
14555,9922,0.5,4,18,45
39119,9874,0.5,4,90,45
14554,9864,0.5,4,18,45
17480,9832,0.5,4,18,45
15189,9797,0.5,4,18,45
41279,9793,0.5,4,45,45
33560,9738,0.5,4,3500,45
14313,9704,0.5,4,70,45
10402,9668,0.5,4,240,45
31294,9664,0.5,4,16,45
33883,9664,0.5,4,20,45
34755,9652,0.5,4,24,45
33885,9637,0.5,4,20,45
34754,9605,0.5,4,24,45
23326,9593,0.5,4,30,45
14394,9546,0.5,4,5000,45
14395,9546,0.5,4,5000,45
14396,9546,0.5,4,5000,45
14397,9546,0.5,4,5000,45
14398,9546,0.5,4,3000,45
14399,9546,0.5,4,3000,45
14400,9546,0.5,4,3000,45
14401,9546,0.5,4,3000,45
23328,9508,0.5,4,50,45
23327,9480,0.5,4,18,45
23502,9466,0.5,4,150,45
30499,9437,0.5,4,16,45
30490,9435,0.5,4,18,45
16525,9284,0.5,4,18,45
38998,9278,0.5,4,42,45
37868,9227,0.5,4,60,45
38997,9220,0,4,39,45
34795,9165,0,4,100,45
18363,9079,0,4,500,45
4057,9041,0,4,500,45
39981,8970,0,4,220,45
24039,8880,0,4,2500,45
20111,8869,0,4,28,45
24037,8824,0,4,2500,45
17479,8807,0,4,24,45
31293,8806,0,4,26,45
23503,8738,0,4,120,45
16231,8688,0,4,18,45
27611,8667,0,4,14,45
24038,8574,0,4,2500,45
36066,8448,0,4,100,45
19425,8420,0,4,14,45
18021,8405,0,4,30,45
38996,8390,0,4,39,45
33873,8293,0,4,20,45
40667,8241,0,4,500,45
38468,8126,0,4,200,45
19426,8098,0,4,12,45
19427,8092,0,4,12,45
18020,8073,0,4,36,45
38987,7940,0,4,14,45
38988,7938,0,4,16,45
31292,7926,0,4,34,45
31303,7778,0,4,18,45
23509,7770,0,4,110,45
40123,7721,0,4,75,45
38990,7567,0,4,16,45
36548,7510,0,4,140,45
35544,7474,0,4,25,45
34508,7464,0,4,250,45
36072,7464,0,4,96,45
23508,7460,0,4,108,45
34021,7393,0,4,42,45
34022,7383,0,4,42,45
38995,7382,0,4,42,45
34023,7333,0,4,14,45
36073,7329,0,4,88,45
38992,7298,0,4,16,45
31302,7288,0,4,22,45
38989,7217,0,4,14,45
32183,7202,0,4,17,45
39462,7181,0,4,0,45
31718,7171,0,4,100,45
30492,7165,0,4,20,45
30501,7154,0,4,18,45
34514.9,7107,0,4,10,45
20112,7071,0,4,28,45
34796,7052,0,4,100,45
16980,7035,0,4,60,45
38991,7014,0,4,14,45
36074,6968,0,4,80,45
37878,6965,0,4,1000,45
34515.9,6952,0,4,11,45
38419,6952,0,4,500,45
32182,6948,0,4,18,45
34512.9,6918,0,4,14,45
39935,6913,0,4,0,45
23510,6908,0,4,112,45
30491,6903,0,4,18,45
16979,6881,0,4,60,45
34513.9,6878,0,4,10,45
30500,6859,0,4,16,45
12689.1,6824,0,4,60,45
34516.9,6813,0,4,13,45
12690.1,6777,0,4,50,45
16978,6761,0,4,60,45
41355,6757,0,4,168,45
38516.S,6756,0,4,16,45
38517.S,6753,0,4,14,45
20113,6736,0,4,26,45
34518.9,6681,0,4,9,45
34520.9,6668,0,4,11,45
34517.9,6635,0,4,9,45
34519.9,6617,0,4,13,45
32184,6600,0,4,20,45
40666,6570,0,4,300,45
36067,6569,0,4,116,45
34521.9,6564,0,4,11,45
20685,6535,0,4,96,45
31301,6488,0,4,20,45
34794,6466,0,4,100,45
20107,6424,0,4,18,45
20078,6383,0,4,18,45
38999,6280,0,4,44,45
21650,6213,0,4,250,45
20687,6200,0,4,88,45
34511,6174,0,4,250,45
34522.9,6172,0,4,13,45
16169,6165,0,4,18,45
38482,6149,0,4,25,45
34523.9,6053,0,4,11,45
34695,6011,0,4,220,45
39000,5986,0,4,44,45
33501,5985,0,4,100,45
36559,5945,0,4,240,45
34894,5936,0,4,300,45
33562,5870,0,4,3500,45
20080,5845,0,4,16,45
39001,5839,0,4,44,45
39643,5834,0,4,250,45
34694,5817,0,4,220,45
20079,5815,0,4,16,45
12144,5794,0,4,50,45
38481,5786,0,4,500,45
20686,5767,0,4,96,45
34696,5757,0,4,220,45
36558,5751,0,4,150,45
36561,5751,0,4,280,45
34892,5742,0,4,300,45
36560,5691,0,4,240,45
38480,5676,0,4,500,45
20110,5666,0,4,16,45
37872,5588,0,4,275,45
37862,5585,0,4,500,45
34893,5565,0,4,300,45
33875,5552,0,4,20,45
36068,5509,0,4,88,45
23247,5472,0,4,18,45
33874,5424,0,4,20,45
33852,5409,0,4,500,45
16170,5404,0,4,18,45
23246,5403,0,4,12,45
35272,5400,0,4,200,45
39360,5349,0,4,0,45
27610,5346,0,4,44,45
34509,5324,0,4,250,45
11215.1,5292,0,4,150,45
20108,5239,0,4,16,45
27076,5221,0,4,300,45
12145,5206,0,4,50,45
33821,5091,0,4,1500,45
31606,5073,0,4,16,45
33561,5065,0,4,3500,45
38501,5061,0,4,45,45
31607,5024,0,4,18,45
33868,4903,0,4,20,45
20109,4871,0,4,16,45
3565,4812,0,4,250,45
34819,4804,0,4,4000,45
14305,4758,0,4,70,45
24213,4747,0,4,24,45
41635,4682,0,4,220,45
39787,4668,0,4,100,45
12146,4653,0,4,48,45
20676,4646,0,4,80,45
19424,4623,0,4,12,45
23504,4605,0,4,108,45
23231,4571,0,4,18,45
34689,4539,0,4,250,45
31298,4527,0,4,22,45
23377,4510,0,4,250,45
24214,4486,0,4,26,45
38477,4450,0,4,250,45
12130.1,4435,0,4,140,45
12691.1,4435,0,4,50,45
39464,4418,0,4,0,45
